FLastName, Attempt #,Attempt Start,Attempt End,Section #,Q #,Q Type,Q Title,Q Text,Bonus?,Difficulty,Answer,Answer Match,Score,Out Of
91497b2a878a32b72061a9e3aeba68373803d7a6db8f1f6d662b9a639174437bb44a1, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,38,UnChecked,0,1
85065fce281493e58e2326a6ef0cfc16ed975e86ab9e095f6d31127169510d84491e2, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,39,UnChecked,0,1
5454403e9e2f58c9010ce4469edeb482de44dddcb93acb78cd0a612a5889c1be2f41b, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,40,Checked,0,1
866061eef1b8d30d19e88450cf735d11c382c71ba291963d0ea0365e55e250c674ec4, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,41,UnChecked,0,1
47488cae8c7e90fb4a28416dfacdaa08381dd38cdc68f0caade5ad7f4cee809922b77, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,UnChecked,0,1
92611571a0a38c0ec21f90d1285c2211b4e844f12045ddb9c2be45f51d5a5d6a13e0f, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,50%,UnChecked,0,1
61515b0086bdeea08c350cafbb02bc4e0d067f4f735ef83d848f7268732cc72700c3e, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,60%,UnChecked,0,1
95538ac5994ebdd221e160be016f560ab00129a9328185df9ef2161fc2c09c06216f0, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,Checked,0,1
59591a35303d1433d3647b60bc582fc22c8989b0b661928c7fd828b34933d9f970fb7, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,True,UnChecked,0,1
591807699b809cca01b1bffce0602b818e2cd9b4ce08f839219388fd6d7aa73456afa, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,False,Checked,0,1
